power_on_hours,temperature,reallocated_sectors_count,reported_uncorrectable_errors,spin_retry_count,seek_error_rate,udma_crc_error_count,prediction,serial_number,timestamp
48790.97,52.05,101.52,31.3,13.85,87882.58,97.63,0.95,SN223339,2025-06-16 02:16:11
40265.27,63.51,60.07,13.3,14.68,37334.35,61.22,0.96,SN329919,2025-06-14 02:16:11
8558.49,29.61,0.0,2.08,0.0,0.0,1.03,0.0,SN537185,2025-07-08 02:16:11
38416.16,69.45,76.9,15.06,14.58,58310.97,77.12,0.97,SN548845,2025-06-01 02:16:11
34792.35,65.1,144.47,35.64,4.94,82189.22,77.79,0.97,SN989501,2025-06-08 02:16:11
20840.18,58.3,25.71,33.9,10.94,5190.05,57.55,1.02,SN181085,2025-07-15 02:16:11
49451.5,62.09,41.71,19.33,18.29,87419.69,12.55,1.01,SN797786,2025-06-13 02:16:11
14045.21,25.49,1.93,1.92,0.98,0.95,0.0,0.0,SN665556,2025-06-21 02:16:11
1233.22,25.72,0.97,1.03,0.99,4.89,0.99,0.0,SN623178,2025-07-22 02:16:11
18911.55,36.33,2.04,1.01,0.0,7.22,0.99,0.0,SN753026,2025-06-30 02:16:11
18141.39,31.96,1.99,0.0,0.0,7.15,1.03,0.0,SN119356,2025-06-13 02:16:11
26501.6,58.62,33.64,25.26,12.88,13895.84,17.31,1.02,SN923096,2025-06-17 02:16:11
15988.91,27.11,0.0,2.02,1.02,0.0,0.0,0.0,SN138218,2025-06-22 02:16:11
34918.31,41.73,144.55,34.8,14.32,44788.86,67.7,0.99,SN424117,2025-06-14 02:16:11
27091.68,68.83,29.52,26.09,1.9,46884.41,22.82,1.04,SN424998,2025-06-01 02:16:11
8523.93,38.83,0.99,1.01,1.04,2.04,0.0,0.0,SN654775,2025-07-02 02:16:11
34839.45,52.62,73.35,48.12,5.1,71498.37,46.8,1.02,SN971932,2025-06-04 02:16:11
43661.47,67.12,172.28,21.06,11.99,55968.05,93.98,0.99,SN122587,2025-06-03 02:16:11
34613.74,61.43,23.98,41.96,7.14,67179.49,55.3,0.98,SN269941,2025-07-03 02:16:11
48008.4,49.21,119.67,44.83,18.57,16766.51,21.52,1.04,SN891572,2025-06-06 02:16:11
31045.9,48.67,144.27,6.25,9.97,33876.59,92.27,1.02,SN827111,2025-07-17 02:16:11
14339.92,32.8,1.92,0.96,0.0,6.03,0.0,0.0,SN607867,2025-06-19 02:16:11
16208.82,39.91,3.12,1.0,1.0,5.14,0.0,0.0,SN279851,2025-06-24 02:16:11
45696.87,41.71,136.06,30.28,19.27,27039.25,7.1,0.96,SN846839,2025-07-20 02:16:11
16939.33,30.23,0.0,0.0,0.0,0.98,0.0,0.0,SN845253,2025-06-03 02:16:11
9317.35,34.32,3.09,2.01,0.0,3.95,0.0,0.0,SN472481,2025-07-14 02:16:11
37139.55,57.22,11.01,6.95,12.37,54143.85,19.25,0.97,SN561174,2025-06-04 02:16:11
18793.14,30.16,4.11,0.0,0.0,1.96,1.03,0.0,SN191457,2025-06-24 02:16:11
42612.02,43.81,159.23,34.73,8.56,84876.32,13.62,0.98,SN232230,2025-06-12 02:16:11
40056.58,53.91,194.28,46.35,16.18,34642.41,70.45,0.98,SN566639,2025-06-18 02:16:11
60149.76,60.21,37.33,24.12,18.37,66041.89,27.3,0.96,SN960369,2025-06-07 02:16:11
46024.76,51.62,198.47,12.46,10.84,57862.55,84.47,1.01,SN850872,2025-07-15 02:16:11
9483.16,32.43,1.05,1.92,1.01,4.07,1.02,0.0,SN202888,2025-07-22 02:16:11
11828.59,38.02,2.03,0.0,0.0,3.01,0.0,0.0,SN631724,2025-06-24 02:16:11
4188.41,37.46,1.04,0.98,0.0,4.09,0.0,0.0,SN322453,2025-06-11 02:16:11
4501.28,34.71,3.15,2.01,0.0,8.11,0.0,0.0,SN396367,2025-06-29 02:16:11
27751.08,43.7,153.02,11.96,6.07,97598.41,25.13,1.0,SN811529,2025-06-16 02:16:11
17900.53,36.22,0.0,1.93,0.0,1.04,1.04,0.0,SN994889,2025-06-27 02:16:11
21263.4,49.89,198.63,24.27,12.34,54406.95,28.25,1.04,SN820113,2025-06-15 02:16:11
55240.59,54.4,102.66,9.28,12.48,47645.5,12.56,0.98,SN153647,2025-07-20 02:16:11
28800.0,60.15,131.8,43.59,19.6,92030.51,99.71,1.04,SN129979,2025-07-06 02:16:11
16614.88,29.96,4.11,0.99,0.96,4.0,0.96,0.0,SN758068,2025-07-10 02:16:11
3819.41,33.15,1.94,0.97,0.0,3.83,0.0,0.0,SN782646,2025-07-29 02:16:11
11855.0,29.78,0.96,1.01,0.0,9.26,0.0,0.0,SN696123,2025-06-08 02:16:11
18143.34,39.95,3.03,0.0,0.0,2.95,0.0,0.0,SN260968,2025-07-17 02:16:11
7283.78,27.13,0.0,0.0,1.0,5.88,0.0,0.0,SN814095,2025-07-25 02:16:11
27606.7,53.29,78.09,33.8,3.12,40854.45,61.68,0.98,SN307720,2025-07-04 02:16:11
39137.5,55.03,169.61,19.06,10.22,7657.6,81.4,1.02,SN124893,2025-07-07 02:16:11
56626.08,65.65,72.27,19.17,18.3,1138.71,32.72,1.04,SN441994,2025-06-24 02:16:11
9232.68,32.23,0.95,1.95,1.01,2.07,1.01,0.0,SN964020,2025-06-22 02:16:11
15864.23,36.43,1.02,1.04,0.0,7.23,0.98,0.0,SN365959,2025-06-10 02:16:11
8105.39,27.07,2.89,1.03,1.01,4.2,1.05,0.0,SN227886,2025-06-30 02:16:11
45526.23,43.84,155.2,14.78,13.65,100627.1,20.39,1.02,SN679305,2025-06-16 02:16:11
11578.39,36.44,0.97,0.0,0.99,0.0,1.02,0.0,SN869360,2025-07-13 02:16:11
39940.04,47.26,172.19,13.39,9.51,15534.77,64.54,1.05,SN795628,2025-06-15 02:16:11
18624.14,33.92,1.04,0.97,1.02,3.98,0.97,0.0,SN993910,2025-06-07 02:16:11
49149.81,60.78,35.09,43.26,13.32,14000.69,44.38,1.01,SN585462,2025-06-05 02:16:11
21101.82,69.67,156.49,35.11,6.03,81373.83,69.46,1.0,SN397492,2025-06-12 02:16:11
52298.87,41.89,161.33,42.71,3.13,81825.37,22.98,0.99,SN189204,2025-07-28 02:16:11
40866.25,50.22,181.48,45.44,16.54,34462.94,65.48,0.97,SN984609,2025-07-05 02:16:11
41752.25,47.06,171.13,11.59,17.36,59467.61,71.13,1.05,SN470348,2025-06-01 02:16:11
41630.04,53.35,182.2,41.26,15.95,46282.29,44.31,1.04,SN391656,2025-06-12 02:16:11
9330.21,27.97,4.05,0.0,0.0,4.96,0.0,0.0,SN696964,2025-06-13 02:16:11
12080.54,25.6,0.99,1.93,1.02,2.94,0.0,0.0,SN168151,2025-07-04 02:16:11
14902.11,40.31,3.1,1.02,0.97,4.83,0.0,0.0,SN699316,2025-06-12 02:16:11
9374.8,38.71,3.0,1.02,0.0,8.71,1.02,0.0,SN967485,2025-06-10 02:16:11
3875.19,33.57,2.89,2.07,1.0,3.9,0.99,0.0,SN500761,2025-07-19 02:16:11
